file_number,object_def_description,licence_number,application_status,latitude,longitude,premises_name,street_address,city,province,postal_code,address,public_notice_deadline,is_latest_version,licence_status,application_type,licence_type_en,application_status_fr,areas,address_id
450633,NA,CRSA1104787,Authorized to Open,42.9933,-81.2525,J. LONDON,691 RICHMOND ST SUITE 5,LONDON,ON,N6A5M1,"691 RICHMOND ST SUITE 5, LONDON, ON, N6A5M1",3/19/2019 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,33390177
684018,NA,CRSA1202483,Authorized to Open,43.6705899861039,-79.4525399801566,HIGH MILES INCORPORATED,1829 DAVENPORT RD UNIT 1B,TORONTO,ON,M6N1B8,"1829 DAVENPORT RD UNIT 1B, TORONTO, ON, M6N1B8",5/18/2021 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,96961808
870779,NA,CRSA1177702,Authorized to Open,44.0124638704193,-79.447111714842,MALIBU ROAD,150 HOLLIDGE BLVD UNIT 5,AURORA,ON,L4G8A3,"150 HOLLIDGE BLVD UNIT 5, AURORA, ON, L4G8A3",7/3/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,14574435
879375,NA,CRSA1172676,Authorized to Open,43.1790199890635,-79.2308500405545,High Leaf Cannabis,359 CARLTON ST UNIT 9,ST CATHARINES,ON,L2N1C2,"359 CARLTON ST UNIT 9, ST CATHARINES, ON, L2N1C2",7/9/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,69104881
881859,NA,CRSA1179919,Authorized to Open,46.5220404812454,-80.9541315,Grassroots Co,1113 LASALLE BLVD UNIT 2,SUDBURY,ON,P3A1Y3,"1113 LASALLE BLVD UNIT 2, SUDBURY, ON,  P3A1Y3",7/13/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,68531201
913371,NA,CRSA1198404,Authorized to Open,43.694226238444,-79.274524886635,Hypnos Cannabis,3474 DANFORTH AVE,SCARBOROUGH,ON,M1L1E1,"3474 DANFORTH AVE, SCARBOROUGH, ON, M1L1E1",1/13/2021 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,52763922
918876,NA,CRSA1196196,Authorized to Open,43.6430192486105,-79.4242782166371,Canna Savanna,1149 QUEEN ST W,TORONTO,ON,M6J 1J4,"1149 QUEEN ST W, TORONTO, ON, M6J 1J4",3/5/2021 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,68879844
925353,NA,CRSA1200939,Authorized to Open,43.4179199875416,-80.4539999647318,THE CANNABIST SHOP - MANITOU,5 MANITOU DR SUITE 104,KITCHENER,ON,N2C2J6,"5 MANITOU DR SUITE 104, KITCHENER, ON, N2C2J6",2/17/2021 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,77260998
927078,NA,CRSA1173571,Authorized to Open,43.8993818820188,-78.855737574788,Old West Cannabis Company,215 KING ST E,OSHAWA,ON,L1H1C5,"215 KING ST E, OSHAWA, ON, L1H1C5",7/15/2020 12:00:00 AM,Y,Active,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,15793223
927695,NA,CRSA1189139,Authorized to Open,43.6611958020949,-79.4291358147326,Tokyo Smoke,979 BLOOR ST W,TORONTO,ON,M6H1L7,"979 BLOOR ST W, TORONTO, ON, M6H1L7",8/12/2020 12:00:00 AM,Y,Expired - Deemed to Continue,New Application,Cannabis Retail Store Authorization,Autorisè à ouvrir,Indoor Area,45869152
